passed,year,adult,popularity,runtime,vote_average,vote_count
0,2010,FALSE,9.014972,98,6.1,577
1,2010,FALSE,7.007993,91,6.8,167
1,2010,FALSE,0.093776,81,5,1
0,2001,FALSE,0.628061,155,5.5,16
1,2014,FALSE,0.835182,18,6.9,22
1,2007,FALSE,0.351064,120,4.7,3
1,2009,FALSE,2.775816,102,7.3,33
1,2010,FALSE,6.904518,91,5,106
1,2010,FALSE,9.276539,119,6.9,581
1,2010,FALSE,6.771868,89,7.3,860
0,2010,FALSE,6.598296,80,5.2,228
1,2010,FALSE,4.326838,113,6.6,94
0,1998,FALSE,15.280219,90,6.1,243
0,2011,FALSE,7.888013,119,5.5,1274
0,2010,FALSE,9.402082,133,6.8,462
1,2006,FALSE,0.486036,100,6,6
1,2009,FALSE,7.836321,104,6.6,120
0,2011,FALSE,7.513067,111,5.2,306
0,2010,FALSE,8.832903,107,7,117
1,2011,FALSE,0.591217,90,4.3,4
0,2011,FALSE,12.114955,105,7.1,3888
0,2010,FALSE,4.743279,100,5.6,69
1,2010,FALSE,6.182802,110,6.5,141
1,2011,FALSE,8.88057,107,6.1,1367
0,2011,FALSE,6.807442,119,7,923
1,2011,FALSE,7.128117,114,5.8,577
1,2010,FALSE,2.216959,134,7,22
1,2011,FALSE,11.096527,107,5,87
1,2010,FALSE,4.582024,117,5.9,80
0,2011,FALSE,14.443599,113,6.5,1288
0,2011,FALSE,4.84886,87,5.9,135
0,2010,FALSE,8.419427,92,4.8,165
1,2011,FALSE,10.24382,104,6.5,1825
0,2010,FALSE,2.898859,105,7,44
1,1996,FALSE,2.853737,240,7.6,39
1,2009,FALSE,4.290624,120,7.2,82
0,2011,FALSE,10.581925,107,6.6,2094
1,2011,FALSE,9.420301,106,6.5,1677
1,2010,FALSE,0.249567,85,7,2
0,2010,FALSE,0.97699,119,6.5,10
0,2010,FALSE,9.668784,100,6.4,89
0,2011,FALSE,9.832342,93,6.3,1066
0,2011,FALSE,9.13273,105,5.4,627
0,2011,FALSE,6.196929,114,5.9,426
0,2011,FALSE,9.388376,109,5.9,1606
0,2011,FALSE,6.753746,116,5.5,1462
0,1998,FALSE,1.199512,97,5.3,24
0,2011,FALSE,4.470133,90,7.1,110
1,2011,FALSE,7.24717,88,5.6,202
1,2009,FALSE,0.700028,114,5.7,9
1,2011,FALSE,9.267959,117,6.3,1588
1,2010,FALSE,5.899325,103,6.1,105
1,1996,FALSE,0.016421,72,0,0
1,2011,FALSE,10.174298,100,5.7,958
0,2010,FALSE,8.309635,96,6.6,446
0,2011,FALSE,9.796962,93,7.1,2752
1,1996,FALSE,7.089084,120,7,438
1,2011,FALSE,13.779527,110,5.9,1661
0,2010,FALSE,2.972178,84,5.9,42
0,2009,FALSE,0.919483,109,5.8,15
1,2011,FALSE,6.496259,96,6.4,209
0,2006,FALSE,1.915832,88,4.3,6
0,2010,FALSE,11.331859,106,8.1,282
1,2010,FALSE,17.24814,103,6.8,1775
0,2011,FALSE,10.926038,86,5.7,213
1,2011,FALSE,4.480723,106,6.7,176
0,2008,FALSE,8.474973,74,5.9,87
1,2004,FALSE,1.179182,89,2.9,7
0,2010,FALSE,3.308503,87,7.5,66
0,2011,FALSE,8.425361,99,6.3,250
0,2011,FALSE,8.904488,95,5.5,338
1,2015,FALSE,0.077408,94,0,0
1,2011,FALSE,8.071196,111,6.5,1284
0,1998,FALSE,1.634663,98,5.9,6
1,2009,FALSE,0.547182,84,5.5,14
0,2010,FALSE,10.520394,124,6.5,63
0,2011,FALSE,9.698075,110,5.3,270
1,2011,FALSE,10.000721,111,6.1,930
0,2011,FALSE,10.403228,96,6.5,2213
1,2011,FALSE,8.124767,136,7,915
1,2011,FALSE,29.158489,115,6.6,6678
1,2009,FALSE,2.355305,84,5.1,18
1,2011,FALSE,3.010129,336,7.3,36
1,2004,FALSE,7.107178,90,3.9,13
0,2011,FALSE,7.649466,120,6.7,879
1,2009,FALSE,0.983842,103,6.9,10
1,2015,FALSE,0.543548,99,4.8,5
1,2011,FALSE,1.420361,130,7.1,2491
1,2005,FALSE,0.744845,85,6.8,7
1,2011,FALSE,2.7151,95,5.9,33
1,2010,FALSE,8.596012,130,7.9,496
1,2011,FALSE,11.009053,106,6.9,355
0,2015,FALSE,0.017296,72,10,1
1,2011,FALSE,6.810991,125,6.5,1697
0,2011,FALSE,8.259952,87,5.4,710
0,2011,FALSE,27.88772,136,6.4,5068
1,2011,FALSE,11.43256,94,7.4,2049
0,2011,FALSE,11.204539,139,6.5,1009
1,2011,FALSE,8.453293,91,5.3,230
1,2015,FALSE,0.646946,99,0,0
1,2011,FALSE,9.93263,88,6.3,748
0,2010,FALSE,7.131032,128,7.2,166
1,2011,FALSE,11.481921,91,6.7,1925
0,2007,FALSE,0.334601,84,4,1
1,2011,FALSE,0.738633,132,7.1,5252
0,2010,FALSE,7.346099,97,7.4,452
1,2014,FALSE,6.212898,98,6,131
0,2010,FALSE,4.779994,97,6,210
0,2010,FALSE,6.72639,105,6.8,353
1,2011,FALSE,19.529911,112,6.6,2496
1,2010,FALSE,5.116632,98,5.8,65
0,2011,FALSE,3.144046,87,7.2,47
0,2011,FALSE,13.985631,114,5.1,2551
1,2010,FALSE,4.118699,98,4.7,49
1,2011,FALSE,7.310686,92,5.4,1634
1,2011,FALSE,4.503505,154,6.1,3351
0,2010,FALSE,0.507532,0,7,1
0,2011,FALSE,5.67375,102,5.2,511
1,2010,FALSE,2.554659,99,4.9,54
1,2010,FALSE,0.776951,87,4.9,18
0,2011,FALSE,3.363008,97,6.9,53
1,2003,FALSE,0.578154,90,6.3,4
0,2010,FALSE,7.000421,107,6.1,399
1,2011,FALSE,9.856955,98,6.4,2341
0,2010,FALSE,2.25904,90,5.4,42
0,2011,FALSE,13.693002,106,5.8,2088
1,2010,FALSE,5.727987,88,5.8,334
0,2011,FALSE,1.373641,88,7.1,20
1,2009,FALSE,1.10475,88,5.7,13
0,2006,FALSE,0.941648,0,7.3,10
1,2009,FALSE,1.319694,71,6,14
1,2011,FALSE,8.34835,109,6,611
0,2010,FALSE,5.935839,93,6.2,136
1,2011,FALSE,24.990737,130,7.9,6141
1,2011,FALSE,15.388875,100,7.4,3832
1,2011,FALSE,2.003832,104,5.3,22
0,2011,FALSE,19.323582,124,6.6,7174
1,2011,FALSE,10.246173,118,7,2522
0,2011,FALSE,11.239012,107,7,1006
0,2011,FALSE,11.256636,96,6.8,378
1,2011,FALSE,4.520607,86,4.8,121
0,2011,FALSE,7.357682,63,6.8,263
1,2011,FALSE,5.895968,102,5.9,145
1,1996,FALSE,1.376588,125,7.3,6
1,2011,FALSE,10.219758,103,5.5,1201
0,2010,FALSE,12.763976,107,4.5,142
1,2011,FALSE,10.009007,109,6.5,2306
1,2010,FALSE,1.226856,75,5,17
1,2011,FALSE,5.918193,90,5.9,369
1,2011,FALSE,5.044201,90,6.4,202
1,2010,FALSE,0.749665,103,6.3,15
0,2011,FALSE,41.613762,105,7,4452
0,2011,FALSE,6.906145,112,5.9,753
1,2011,FALSE,7.486118,146,7.9,1966
0,2011,FALSE,9.763493,83,5.6,537
1,2010,FALSE,2.23481,96,5.3,39
0,2010,FALSE,3.533091,130,6.5,73
1,2009,FALSE,1.021195,110,6.3,4
0,2011,FALSE,12.912491,92,5.9,892
1,2010,FALSE,5.481452,122,6.2,138
1,2010,FALSE,5.633243,110,7.1,122
1,2010,FALSE,1.916629,107,6.5,36
1,2011,FALSE,9.665251,106,6,617
1,2011,FALSE,8.957372,92,6.8,535
0,2011,FALSE,5.886972,106,6.7,218
0,2010,FALSE,7.814255,98,6.2,290
1,2010,FALSE,8.426611,113,6.2,261
